starter 	          新手
senior-operator     资深干员
so		              资深干员
senior		          资深干员
top-operator 	      高级资深干员
to		              高级资深干员
top	        	      高级资深干员
melee 		          近战位
ranged 		          远程位
guard 	    	      近卫
medic 		          医疗
vanguard 	          先锋
van                 先锋
caster 		          术师
sniper 		          狙击
defender 	          重装
defndr		          重装
defr                重装
supporter 	        辅助
supptr		          辅助
supr                辅助
specialist 	        特种
spec	          	  特种
healing 	          治疗
heal		            治疗
support             支援
sup		              支援
dps 		            输出
aoe 		            群攻
slow 		            减速
slo		              减速
survival 	          生存
surv		            生存
defense 	          防护
def		              防护
debuff 		          削弱
dbuff	            	削弱
shift 		          位移
shft		            位移
crowd-control	      控场
cc		              控场
crowd		            控场
control		          控场
nuker 		          爆发
nuke		            爆发
summon 		          召唤
sum		              召唤
fast-redeploy     	快速复活
redeploy	          快速复活
fastredeploy	      快速复活
fr		              快速复活
dp-recovery 	      费用回复
recovery	          费用回复
dprecovery	        费用回复
dp		              费用回复
robot 		          支援机械
rbt		              支援机械

format: input  chinese-equivalent
just some english tag to chinese name conversion
